,wavelength (nm),C,R,G,B
115,875,12.7731461972941,12.8930213110546,12.6129628878756,12.660906334551
116,880,12.6315292773039,12.7393652457786,12.5332346683835,12.5311044382267
117,885,12.4609006505065,12.562437515504,12.4117108114401,12.364509501715
118,890,12.2582225141156,12.3626838750561,12.2493190269201,12.1696994917183
119,895,12.0502370911543,12.1516897157996,12.0657351679163,11.9613619934015
120,900,11.7431465564677,11.8918698907837,11.8605139847774,11.7496285082374
121,905,11.5302831397975,11.6811093691858,11.6659029277672,11.5374865171299
122,910,11.318788043346,11.47611960155,11.4639379260582,11.3266682921459
123,915,11.1151800087279,11.280736446277,11.2731090018004,11.1211694100643
124,920,10.9308649590564,11.1055515720183,11.0997489839596,10.9367211835711
125,925,10.7798880313063,10.9625543907305,10.9502539783001,10.7823605932916
126,930,10.6390478299334,10.8348781600707,10.8128873217648,10.633336468354
127,935,10.4933249379467,10.6966640338417,10.6659125798231,10.4754961253619
128,940,10.3098928520281,10.5357285865163,10.4907565940757,10.2956775661665
129,945,10.1098756606689,10.3534143639163,10.2934951539683,10.0854488733197
130,950,9.89692304382773,10.150082605006,10.0838546050319,9.86313434809384
131,955,9.6875393551868,9.95628898200227,9.87431836474319,9.64159888852841
132,960,9.47591092235579,9.75721702492868,9.66400412643625,9.41756949162188
133,965,9.24550775714474,9.54259381762185,9.43346645002662,9.17601638894435
134,970,8.97886441352235,9.2810555641362,9.16067635594379,8.89183948624437
135,975,8.67442348879728,8.99106084513804,8.85578935021621,8.57779911346363
136,980,8.3582785385702,8.68357585998088,8.53561863241313,8.25207866859455
137,985,8.05025943144954,8.38236511074588,8.2240816223478,7.93597863766843
138,990,7.77003608931373,8.10567474948609,7.93811707370994,7.64687585990181
139,995,7.5161225095462,7.85065986524172,7.67594728422318,7.38881553440966
140,1000,7.26203478012947,7.58905036677359,7.41149967802998,7.12713537441435
141,1005,7.01259870548029,7.32915840795142,7.14729498963497,6.87427656989636
142,1010,6.75294712658112,7.05611647352031,6.87660410934101,6.61346652929293
143,1015,6.47339104308829,6.76026486126785,6.5847703508796,6.3391678405503
144,1020,6.17874093026189,6.45061166361592,6.28095239306074,6.05399478967261
